model,stage,params_json,train_time_s,predict_time_val_s,predict_time_test_s,val_accuracy,val_balanced_accuracy,val_macro_f1,val_weighted_f1,test_accuracy,test_balanced_accuracy,test_macro_f1,test_weighted_f1,best_iteration,best_score
LinearSVC,stage1,"{""C"": 1.0}",197.7592600449998,0.003390795000086655,0.0029587439994429587,0.9899826727312108,0.953516294848459,0.8940720931965678,0.9902231559102843,0.9903617067359758,0.9621558542696312,0.8974925266305246,0.9907067862767724,,
LinearSVC,stage1,"{""C"": 10.0}",288.19886937699994,0.003110415999799443,0.0029290400007084827,0.9903617067359758,0.9532832065182043,0.9074343510446852,0.9905318628081392,0.9907948884557072,0.9630050416889455,0.9094401115479714,0.9911028364959622,,
LinearSVC,stage2,"{""C"": 5.0}",267.4071683080001,0.0031706110003142385,0.0029401680003502406,0.990524149880875,0.9546494836146427,0.9025200768381932,0.9906838434834004,0.9909573316006065,0.9630744941828998,0.9016438593373272,0.9912375889140799,,
LinearSVC,stage2,"{""C"": 10.0}",298.6193429679997,0.0033525420003570616,0.0031956630000422592,0.9903617067359758,0.9532832065182043,0.9074343510446852,0.9905318628081392,0.9907948884557072,0.9630050416889455,0.9094401115479714,0.9911028364959622,,
LinearSVC,stage2,"{""C"": 20.0}",261.82643684399955,0.0032346050002161064,0.0029143399997337838,0.9902534113060428,0.951199873184871,0.9062435535598478,0.9904250952374527,0.9909573316006065,0.963502021405267,0.9019285332504688,0.991250438603721,,
XGBoost,stage1,"{""max_depth"": 4, ""learning_rate"": 0.1, ""n_estimators"": 200, ""subsample"": 0.8, ""colsample_bytree"": 0.8}",4.645319904000644,0.03958958600014739,0.022178649000125006,0.9991877842755036,0.9776069193396261,0.9797538616754341,0.9991858148605569,0.9990253411306043,0.9812498480040469,0.9723618584487745,0.9990334752714111,199.0,0.00216328706148073
XGBoost,stage1,"{""max_depth"": 4, ""learning_rate"": 0.1, ""n_estimators"": 200, ""subsample"": 0.8, ""colsample_bytree"": 1.0}",4.266193712000131,0.02273728900036076,0.022181997000188858,0.9993502274204028,0.9778155218897703,0.9772760595465565,0.9993500471401553,0.9990253411306043,0.9812530327354537,0.9723321732205087,0.9990333019103786,199.0,0.0022488712461249
XGBoost,stage1,"{""max_depth"": 4, ""learning_rate"": 0.1, ""n_estimators"": 200, ""subsample"": 1.0, ""colsample_bytree"": 0.8}",4.276315885000258,0.02335570800005371,0.02289955000014743,0.9990794888455707,0.9774636118016496,0.9651454949894666,0.9991006674642323,0.9990794888455707,0.981324748168615,0.9725063721945276,0.9990876504519701,199.0,0.00245694818579252
XGBoost,stage1,"{""max_depth"": 4, ""learning_rate"": 0.1, ""n_estimators"": 200, ""subsample"": 1.0, ""colsample_bytree"": 1.0}",4.248121059000368,0.023177923000730516,0.022529333000420593,0.9990794888455707,0.9753422831144976,0.9782958168636147,0.9990772427158509,0.9991336365605371,0.9815389726758986,0.9725780866921255,0.9991415201423987,199.0,0.00255046409584756
XGBoost,stage1,"{""max_depth"": 4, ""learning_rate"": 0.1, ""n_estimators"": 500, ""subsample"": 0.8, ""colsample_bytree"": 0.8}",8.227548861999821,0.039878377000604814,0.03748098400046729,0.9993502274204028,0.9778155218897703,0.9799639829800766,0.99934820785457,0.9990794888455707,0.9813183787058013,0.9724318162155609,0.9990875026295686,399.0,0.00187415055117258
XGBoost,stage1,"{""max_depth"": 4, ""learning_rate"": 0.1, ""n_estimators"": 500, ""subsample"": 0.8, ""colsample_bytree"": 1.0}",8.796677795000505,0.06915228799971374,0.06192951399953017,0.9994043751353693,0.9778871756587586,0.980107164150564,0.999402401261878,0.9990794888455707,0.981321563437208,0.9724334199200784,0.9990875067396728,487.0,0.00199087433175682
